,序号,价格,商品名称,图片链接,销量
0,1,86.0,工作服定制polo衫短袖纯棉工衣刺绣印logo,..static/goods_img/3/1.jpg,800
1,2,57.0,t恤工作服定制印logo刺绣订做翻领短袖纯棉,..static/goods_img/3/2.jpg,475
2,3,39.0,polo衫定制短袖文化衫工作服t恤公司工衣团队员工服印字logo刺绣,..static/goods_img/3/3.jpg,107
3,4,47.0,260g重磅长袖t恤 男纯棉厚实宽松纯色白色春秋卫衣日系圆领打底衫,..static/goods_img/3/4.jpg,3416
4,5,35.0,长袖t恤纯棉打底衫男士体恤春夏季2021新款潮牌短袖内搭上衣服C,..static/goods_img/3/5.jpg,39
5,6,39.0,2021春季爆款卫衣男士新款打底衫潮流长袖圆领t恤秋衣宽松上衣服C,..static/goods_img/3/6.jpg,12
6,7,65.0,（买一送一）出口日本200g重磅纯棉全棉长袖T恤宽松男女打底上衣,..static/goods_img/3/7.jpg,3611
7,8,86.0,工装夹克男潮牌棉衣ins无帽飘带棒球服女嘻哈宽松bf情侣炸街外套,..static/goods_img/3/8.jpg,17
8,9,29.98,痞帅衬衫男长袖秋季韩版宽松灯芯绒外套港风ins日系复古百搭衬衣,..static/goods_img/3/9.jpg,2134
9,10,135.0,男道秋季新款人物头像印花套头加绒卫衣男士连帽外套宽松上衣潮牌,..static/goods_img/3/10.jpg,19
10,11,49.9,短袖t恤男夏季2021新款中国潮纯棉白色宽松大码衣服男装长袖体恤,..static/goods_img/3/11.jpg,4932
11,12,68.0,男道夏季新款日系简约潮牌印花短袖T恤男士宽松ins百搭半袖上衣男,..static/goods_img/3/12.jpg,4990
12,13,29.9,防晒衣男夏季透气冰丝薄款皮肤衣男士钓鱼防晒服夹克秋季开衫外套,..static/goods_img/3/13.jpg,10000.0
13,14,25.0,男士加绒卫衣秋冬款韩版潮流连帽加厚上衣服宽松ins港风日系外套,..static/goods_img/3/14.jpg,114
14,15,68.0,美式340g重磅毛圈卫衣男纯棉复古纯色灰色圆领套头薄款长袖上衣男,..static/goods_img/3/15.jpg,1261
15,16,49.0,冰丝棉 男士短袖T恤夏季白色衣服男装纯色半袖夏装打底衫宽松体恤,..static/goods_img/3/16.jpg,10000.0
16,17,239.0,CHINISM CH连帽卫衣男春秋款高街潮牌宽松百搭男生帽衫潮流ins,..static/goods_img/3/17.jpg,5500
